repeat_id,concurrency,request_id,latency_s,prompt_tokens,completion_tokens,total_tokens,output_tokens_per_e2e_s,experiment_elapsed_s,aggregate_output_tokens_per_s
0,1,0,1.687899,36,100,136,59.245252,1.688329,59.230176
1,1,0,1.631264,36,100,136,61.302147,1.631796,61.282157
2,1,0,1.629032,36,100,136,61.386141,1.629485,61.369088
0,2,0,1.682683,36,100,136,59.428886,1.698558,117.746943
0,2,1,1.696068,36,100,136,58.959894,1.698558,117.746943
1,2,0,1.666987,36,100,136,59.988478,1.667781,119.919791
1,2,1,1.649368,36,100,136,60.629283,1.667781,119.919791
2,2,0,1.653519,36,100,136,60.477094,1.670628,119.715446
2,2,1,1.668274,36,100,136,59.94218,1.670628,119.715446
0,4,0,1.694387,36,100,136,59.018378,1.71289,233.523461
0,4,1,1.708891,36,100,136,58.5175,1.71289,233.523461
0,4,2,1.707959,36,100,136,58.549405,1.71289,233.523461
0,4,3,1.706477,36,100,136,58.600277,1.71289,233.523461
1,4,0,1.681448,36,100,136,59.472566,1.702674,234.924661
1,4,1,1.681138,36,100,136,59.483509,1.702674,234.924661
1,4,2,1.696546,36,100,136,58.943297,1.702674,234.924661
1,4,3,1.696248,36,100,136,58.953636,1.702674,234.924661
2,4,0,1.738257,36,100,136,57.528891,1.752955,228.18615
2,4,1,1.73645,36,100,136,57.588772,1.752955,228.18615
2,4,2,1.735675,36,100,136,57.614457,1.752955,228.18615
2,4,3,1.744153,36,100,136,57.334421,1.752955,228.18615
0,8,0,1.750716,36,100,136,57.119486,1.775323,450.622122
0,8,1,1.772095,36,100,136,56.430386,1.775323,450.622122
0,8,2,1.771927,36,100,136,56.435722,1.775323,450.622122
0,8,3,1.765643,36,100,136,56.636598,1.775323,450.622122
0,8,4,1.766496,36,100,136,56.609255,1.775323,450.622122
0,8,5,1.763492,36,100,136,56.705687,1.775323,450.622122
0,8,6,1.763236,36,100,136,56.71389,1.775323,450.622122
0,8,7,1.756064,36,100,136,56.945548,1.775323,450.622122
1,8,0,1.77137,36,100,136,56.453467,1.7766,450.298383
1,8,1,1.750465,36,100,136,57.127685,1.7766,450.298383
1,8,2,1.773067,36,100,136,56.399433,1.7766,450.298383
1,8,3,1.770366,36,100,136,56.48549,1.7766,450.298383
1,8,4,1.769657,36,100,136,56.508111,1.7766,450.298383
1,8,5,1.765893,36,100,136,56.628581,1.7766,450.298383
1,8,6,1.761927,36,100,136,56.756026,1.7766,450.298383
1,8,7,1.762224,36,100,136,56.746491,1.7766,450.298383
2,8,0,1.755874,36,100,136,56.951692,1.783609,448.528805
2,8,1,1.780126,36,100,136,56.175783,1.783609,448.528805
2,8,2,1.776072,36,100,136,56.304026,1.783609,448.528805
2,8,3,1.776423,36,100,136,56.292895,1.783609,448.528805
2,8,4,1.768456,36,100,136,56.546497,1.783609,448.528805
2,8,5,1.772989,36,100,136,56.401935,1.783609,448.528805
2,8,6,1.770306,36,100,136,56.487409,1.783609,448.528805
2,8,7,1.763945,36,100,136,56.691123,1.783609,448.528805
